,회사명,직무명,채용공고명,주요업무,자격요건,우대사항,기술스택
6,베이스라인파트너스,웹 개발자,"Cloud(AWS,GCP) 기반 운영 및 개발 담당자","• DB단 개발 및 데이터  관리


[ 필수제출서류: 이력서,경력기술서 ]
*경력에 대한 경력 기술서 필수 첨부
*사진첨부 필수 
서류전형 - 전화 인터뷰 - 1차 실무진 면접 - 2차 임원 면접 - 최종 합격
*절차는 변경될 수 있습니다.","AWS / linux / gitLab / DB(mysql) / EKS(K8S)  / Docker / python 

**위 기술 스택 사용 가능하신 분",AWS 운영 경험 / 개발(python/java 등) 경험  보유자,"GitLab
Linux
MySQL
HTML
Java
AWS
Spring Framework
GCP"
11,제이씨현시스템,웹 개발자,ASP.NET 웹개발자,"• 웹사이트 개발 및 유지보수
• 서류전형 - 1차(실무면접) - 2차(임원면접) - 최종 합격","• C#  ASP.NET webform,  MS-SQL DB 사용 가능자
• javascript 사용 가능자","•협업 및 커뮤니케이션 우수자
•관련 학과 전공자
•관련 자격증 보유자
•유관업무 경력자","C / C++
HTML
JavaScript
SQL"
59,단색,웹 개발자,웹 개발자,"• 고도몰5 디자인 수정
• 고도몰5 커스텀 튜닝 개발
• MySQL 데이터 추출 및 가공 (ETL)","• HTML, CSS, jQuery, PHP, MySQL","- 스스로 문제를 정의하고 해결 가능하신 분
- 동종업계, 웹에이전시 경험 있으신 분
- 고도몰/퍼스트몰 튜닝 경험 있으신 분
-각종 API연동 경험 많으신 분","MySQL
HTML
PHP
SQL"
67,플랫포머스,웹 개발자,웹 개발자,"• 웹 솔루션 개발/운영
• 플랫폼 사업 개발","• 기본적인 웹 개발 지식(HTML, CSS, JavaScript) 소유자","• 컴퓨터공학 또는 유관 전공자
• 하이브리드 앱 경험자
• VueJs, Angular, React 등의 프론트엔드 프레임워크 경험자","Github
Android
AngularJS
iOS
Linux
React
VueJS
ASP
ASP .NET
HTML
Java
JavaScript
SQL
JSP"
87,Moto7 騎昇顧問有限公司,웹 개발자,資深 Ruby on Rails 工程師,"• 建置 C2C 購物網站，使用 Solidus
• 串接台灣的金流
• 擴充 Solidus，支援 C2C 功能","熟悉 Git
熟悉 Ruby
熟悉 Rails
知悉 HTML
知悉 JavaScript
知悉 CSS
知悉 AWS/GCP/DigitalOcean/Heroku 任一
知悉 UN*X OS
略懂 HTTP
擅於閱讀英文開發文件
擅於閱讀原始碼","Docker
Shell Script
RMDBS
minitest/RSpec",
113,개념원리,웹 개발자,Web 개발자,"- B2B 웹 서비스 개발
- BackOffice 시스템 개발
- 신규 웹 애플리케이션의 UI(반응형) 개발
- Webview, In-App UI 개발
- 프로젝트 관리 및 협업
- 효율적인 개발을 위한 고민 및 지식 나눔
- 타 직군과의 적극적이고 자유로운 의사소통","- 필수 사항
  - 코드 재사용 아키텍처에 대한 이해 및 설계
  - 타 직군과의 협업에 능동적이신 분
  - 모노레포 시스템 경험 or 구축 경험이 있으신 분
  - 테스트툴 경험이 있으신 분
  - Webview, In-App browser (bridge 통신)경험이 있으신 분

- 기술 스택
  - React, Next.js, typescript
  - react-query
  - recoil, redux 등 상태관리 라이브러리
  - styled-component(emotion)","- 우대 사항
  - 기술적인 성장에 목마른 사람들이 모인곳에서 일하고 싶은 사람
  - 스타트업처럼 일해보고 싶은 사람","Android
iOS
Flutter"
145,딥브레인에이아이,웹 개발자,"Back-end 개발자 (Node.js, React, Express, Next.js), 병특","• 백앤드 (Back-end) 개발
• 기존 서비스의 유지 보수 및 신규 서비스 설계 및 개발","• 학력 무관, 병특가능
• Node.js, React, Express, Next.js 등의 Framework 사용 경험
• Git 또는 SVN 등 버전 관리 사용 경험
• REST API 개발 경험
• DBMS, Cache, Data Structure 설계 경험","• AWS, Azure 등의 클라우드 환경 기반
• 개발, 배포 및 운영 경험
• Redis, Memcached 등 메모리 캐시 사용 경험
• Apache, Nginx 등 서버 운영 경험
• Python, C#, Java등 다양한 언어에 대한 개발 경험
• React Native, Flutter, Ionic 등 Hybrid 개발 경험
• 대용량 Log 및 데이터 처리 경험
• Jenkins 를 이용한 CI/CD 사용 경험",
170,마키나락스,웹 개발자,백엔드 엔지니어 (MLOps 제품개발),"• ‘Runway’ 제품의 백엔드를 개발합니다.
• 웹 기반 어플리케이션의 API를 설계하고 구현합니다.
• 웹 서비스 제공을 위한 백엔드 시스템을 설계하고 구현합니다.","• 하나 이상의 프로그래밍 언어에 능숙하신 분 (Python, golang, C/C++ 등)
• RDB 와 REST API 서버 설계 및 개발에 대한 지식을 갖추신 분
• 실무 경험을 통해 Kubernetes 에 대한 기본적인 이해가 있는 분
• MLOps 플랫폼 개발 경험이 있는 분 (MLflow, argo, elastic search, kafka 등)","• 서비스 인프라 / 모니터링 구축 및 운영 경험이 있는 분
• 대용량 데이터 처리 기술 (NoSQL, Map-Reduce) 경험이 있는 분
• 상용 Cloud Platform (AWS, Azure, GCP) 사용 경험이 있는 분
• Agile한 개발 문화를 경험해보신 분

[채용프로세스]
• 서류접수
• 온라인 코딩테스트
• 기술인터뷰
• Fit인터뷰",Python
179,코코네엠(coconeM),웹 개발자,병역특례 S/W 개발 엔지니어 전문연구요원,"[합류하시면 이런 일을 함께 하게 됩니다]
• 메타버스 서비스 및 신규 서비스의 개발을 담당
• 현재 운영 중인 CCP(Character coordinating play) 서비스의 신규 기능을 추가 개발을 담당
• 고객 정보를 관리하는 CMS를 개발합니다 
• 기존에 진행하는 이벤트를 주기적으로 진행하기 위해서 DB 데이터 입력,수정 작업을 수행하며, 더 나은 이벤트를 제공하기 위해서 서버 로직 수정 작업을 진행
• 서비스 상태를 모니터링, 분석. 더 나은 서비스를 제공하기 위한 방안을 제시하고 수정&보완","[이런 분과 함께하고 싶습니다]
• java 개발 또는 Go 경험
• Spring Framework 경험
• IP, TCP, UDP 프로토콜 이해
• 소켓 프로그래밍 이해 ( Linux epoll, Windows IOCP )
• 무엇보다 더 좋은 코드를 만들기 위해 고민하시는 분","[이런 분이라면 더 좋습니다!]
• NoSQL을 이용한 어플리케이션 개발 경험
• JavaScript Framework 사용 경험(React, Vue, Angular 등)
• 서버 설정이나 튜닝 경험자
• 대규모 WEB 어플리케이션의 개발 운용 경험
• 실시간 서비스 개발/운영 경험

[기술 스택]
• 서버 개발 
- 언어 : Java, Kotlin, Go
- Framework : Spring
- IDE : IntelliJ
- DB : MongoDB, Redis, MariaDB
- 기타 : Maven, AWS, Git, Jenkins","MongoDB
Java
Python
AWS
Docker
GCP
Kubernetes"
218,루센트블록,웹 개발자,[Tech] SW Development Engineer (Backend),"• 서비스 기획 참여, 비지니스 로직 설계 및 구현
• MSA 기반 API 서버 개발: Java, Spring 기반 서버 애플리케이션 개발
• MySQL, Redis 등 각종 데이터베이스를 활용한 효율적인 데이터 관리 및 쿼리 최적화","• Java를 포함한 하나 이상의 프로그래밍 언어에 능숙
• Git과 같은 버전관리시스템 및 Unix 기반 개발 환경 경험
• 자료구조, 알고리즘, 데이터베이스, 네트워크 등 기반 지식 보유, 테스트 자동화에 대한 기본 이해
• 다양한 데이터베이스(RDBMS, NoSQL, time-series DB 등)에 대한 기본 이해 및 사용 경험
• MSA 아키텍처에 대한 기본 이해 및 개발 경험
• 라이브 서비스 운영 및 장애 대응 경험","• 컴퓨터 공학/과학, 소프트웨어 보안 관련 학사 학위 이상
• 서비스 기획부터 개발 및 운영에 이르기까지 End to End 개발 경험
• Jira, Confluence, Slack, Space, figma 등 협업 툴 사용에 능숙
• 핀테크, 프롭테크 관련 분야의 서비스 설계 및 개발 경험 보유
• 대용량 트래픽 처리 또는 실시간 대응 경험
• DB 관련 성능 시험, 분석 및 최적화 경험","JavaScript
Python
SQL"
