직무명,채용공고명,채용기한,해시태그,채용공고상세_text,채용공고상세_img,채용공고상세_url,고용형태,경력,근무지역,학력,급여조건,우대사항,회사명,회사분야,출처
웹개발,2023년 IBK연금보험 신입사원 공개채용 (상품·계리·(부채)리스크 / 재무 / IT 부문),~07.06 (목),"전산·IT기술지원, 금융사무·심사·추심, 세무·회계, 경영·기획·전략, 일반사무·사무지원, 총무·법무·특허, 웹프로그래머, 통신·모바일, 네트워크·서버·보안, 기술영업,","모집분야 및 모집인원, 담당업무 퇴직연금 연금계리 부문 모집분야 모집구분 채용인원 근무부서 및 담당업무 ① 상품·계리· (부채)리스크 부문 신입사원 정규직 (신입사원) 0명 (근무부서) 계리부, 리스크관리부, 선임계리사지원팀 (담당업무) 계리결산, 선임계리 결산검증 및 (부채)리스크 관리 지원 업무 ② 재무 부문 신입사원 정규직 (신입사원) 0명 (근무부서) 경영기획부, 회계부 (담당업무) 경영기획, 예산관리 및 회계 결산 지원 업무 ③ IT 부문 신입사원 정규직 (신입사원) 0명 (근무부서) IT개발부, IT기획부 (담당업무) : 생명보험 업무시스템 개발 및 운영 업무 업무시스템 : 영업지원, 계약관리, 보험금지급 관련 시스템 등  모집분야별 주요내용 퇴직연금 연금계리 부문 모집분야 주요내용 (채용직급, 지원자격, 우대사항 등) ① 상품·계리· (부채)리스크 부문 신입사원 (채용직급) 신입사원 (지원자격) 2023년 7월부터 입사 및 근무 가능한 자 (필수) 해외여행에 결격사유가 없는 자 (필수) ※ 단, 남성의 경우 병역필 또는 면제자 (서류전형 우대사항 및 가점) 수학·통계학 혹은 상경계열(경영·경제학 등) 전공자 (만점의 5%) 보험계리사(1차시험 합격자 포함), 미국보험계리사(FSA/ASA) 자격증 보유자 (각 만점의 2%) ② 재무 부문 신입사원 (채용직급) 신입사원 (지원자격) 2023년 7월부터 입사 및 근무 가능한 자 (필수) 해외여행에 결격사유가 없는 자 (필수) ※ 단, 남성의 경우 병역필 또는 면제자 (서류전형 우대사항 및 가점) 세무·회계학 혹은 상경계열(경영·경제학 등) 전공자 (만점의 5%) 회계사, 세무사, CFA, FRM 자격증 보유자 (각 만점의 2%) ③ IT 부문 신입사원 (채용직급) 신입사원 (지원자격) 2023년 7월부터 입사 및 근무 가능한 자 (필수) 해외여행에 결격사유가 없는 자 (필수) ※ 단, 남성의 경우 병역필 또는 면제자 (서류전형 우대사항 및 가점) 컴퓨터·전산·IT 관련 학과 전공자 (만점의 5%) 정보처리기사, OCJP, SQLP 자격증 보유자 (각 만점의 2%)  접수기간 및 접수방법 접수기간 : 2023년 6월 22일 (목) 09:00 ~ 2023년 7월 6일 (목) 18:00 접수방법 : 회사 홈페이지를 통한 온라인 입사지원 (ibki.career.co.kr/jobs/) 마감일은 지원서 접수가 급증할 것으로 예상되오니, 미리 접수하시기 바랍니다. 전형절차 및 합격자발표 전형절차  합격자발표 발표(예정)일 : 2023년 7월 12일 (수) 예정 발표내용 : 서류전형 결과 발표방법 : 전형 단계별 합격자 및 불합격자 개별 통보  전형단계별 평가기준 및 합격자결정 방법 등 각 전형 단계별 평가자(면접관) 세부사항 1) 서류전형 : 인사총무부장, 채용부문부서장 2) 1차면접 : 인사총무부장, 채용부문부서장, 제3부서장 3) 2차면접 : 인사담당임원, 채용부문임원, 제3임원(혹은 외부전문가) 각 전형 단계별 평가항목 및 점수배점 1) 서류전형 : 직무준비도 70점, 자기소개서 30점 2) 1차면접 : 그룹면접 60점 , 필기Test 20점, 그룹토의 20점 3) 2차면접 : 직무역량 40점, 핵심역량 60점 단계별 가점부여 기준 서류전형 가점부여 세부내용은 채용직무별 상기 내용에 의하며, 장애인(만점의 15%) 및 국가보훈대상자(만점의 5~10%)는 관련 법률에 의거 서류전형 및 1·2차면접 단계에서 가점 부여 (2023년 체험형 청년인턴) 우수인턴으로 선정된 자가 1차 면접에 응시하게 될 경우, 관련 품의에 의거 필기시험 우대가점(만점의 10%)을 부여토록 함 복수의 우대사항 적용되는 경우, 단계별 우대가점의 합산비율은 최대 15% 단계별 합격인원 전형 단계별 합격자는 평가점수 고득점자 순으로, (채용인원 기준) 서류전형은 5배수 이내, 1차면접은 3배수 이내에서 합격자를 선정 단계별 합격자로 선정된 지원자의 포기의사 등으로 단계별 합격인원에 결원이 발생할 경우, 해당 단계 평가 순위표에 의한 고득점자 순으로 합격인원 범위 내에서 합격자를 보충하여 선정할 수 있음 단계별 동점자 처리기준 전형 단계별 동점자 발생시에는 합격인원을 초과하더라도 전원 합격처리 하며, 단, 2차면접 결과 선발예정 인원을 초과한 동점자 발생시 아래 순서로 합격자를 선정 제출서류 : 국문 입사지원서(채용홈페이지를 통한 온라인 제출) 문의처 및 유의사항 문의처 회사 채용홈페이지 내 Q&A 채용담당자 : 민년기 차장 (02-2270-1602 / ******@*******.***)  기타 유의사항 접수가능 일정 및 접수시한을 준수 바랍니다. 온라인지원 접수마감 : 2023년 7월 6일 (목) 18:00시 까지 지원서 접수는 IBK연금보험 인터넷 홈페이지에서만 가능합니다. IBK연금보험은 블라인드 채용을 통해 전형단계별 출신지역, 가족관계, 사진, 학력 및 연령 등에 의한 차별적 요소를 배제하고 있습니다. 지원서 작성 및 면접단계에서 지원자가 출신지역, 가족관계, 사진, 학력 및 연령 등에 대한 사항 혹은 이를 추측할 수 있는 정보를 명시하거나 언급하는 행위가 불가하오니 참고 바랍니다. (단계별 면접전형 시에도 블라인드 채용 관련사항을 별도 안내 예정) 부정합격자는 채용이 취소되며, 채용비리 등으로 인한 피해자는 차순위 지원자를 대상으로 구제조치 예정 (채용비리 관련 징계시효는 5년이며, 해당 후보자는 해당 기간동안 재 지원 불가) 채용전형 중 직무관련 능력, 역량 및 수행업무 사실여부 등에 대한 확인을 위해 (경력직)지원자를 대상으로 평판조회를 실시할 수 있으며, 이에 동의하는 경우에 한하여 지원 바랍니다. 채용공고 관련 상기 외의 사항은 관계 법령, 당사 취업규칙 및 인사규정 등을 따릅니다. 장애인 및 보훈대상자는 관련 법률에 의거 우대합니다. 채용서류의 반환 관련사항 <채용절차의 공정화에 관한 법률>에 근거하여, 최종합격자 발표 후 제출한 서류일체는 입사 전 반환을 요청할 수 있음 단, 최종합격하여 입사한 자, 채용사이트 또는 전자우편을 통해 제출한 서류는 반환대상 에서 제외","https://c.incru.it/newjobpost/2023/06_ibk/ibk2.png, https://c.incru.it/newjobpost/2023/06_ibk/list.png",,정규직 [수습기간: 0개월],신입,"서울 > 중구, 전지역, 전국 > 전지역, 경기 > 전지역, 인천 > 전지역, 전국 > 전지역, 서울 > 종로구, 서대문구, 영등포구, 서초구, 강동구, 강북구, 강남구, 강서구, 노원구, 금천구, 마포구, 송파구, 양천구, 은평구, 성북구, 동작구, 구로구, 광진구, 동대문구, 성동구, 용산구, 중랑구, 관악구, 도봉구",학력무관,회사내규,,아이비케이연금보험(주),보험·연금,https://job.incruit.com/jobdb_info/jobpost.asp?job=2306230002637
웹개발,2023년 IBK연금보험 신입사원 공개채용 (상품·계리·(부채)리스크 / 재무 / IT 부문),~07.06 (목),"전산·IT기술지원, 금융사무·심사·추심, 세무·회계, 경영·기획·전략, 일반사무·사무지원, 총무·법무·특허, 웹프로그래머, 통신·모바일, 네트워크·서버·보안, 기술영업,","모집분야 및 모집인원, 담당업무 퇴직연금 연금계리 부문 모집분야 모집구분 채용인원 근무부서 및 담당업무 ① 상품·계리· (부채)리스크 부문 신입사원 정규직 (신입사원) 0명 (근무부서) 계리부, 리스크관리부, 선임계리사지원팀 (담당업무) 계리결산, 선임계리 결산검증 및 (부채)리스크 관리 지원 업무 ② 재무 부문 신입사원 정규직 (신입사원) 0명 (근무부서) 경영기획부, 회계부 (담당업무) 경영기획, 예산관리 및 회계 결산 지원 업무 ③ IT 부문 신입사원 정규직 (신입사원) 0명 (근무부서) IT개발부, IT기획부 (담당업무) : 생명보험 업무시스템 개발 및 운영 업무 업무시스템 : 영업지원, 계약관리, 보험금지급 관련 시스템 등  모집분야별 주요내용 퇴직연금 연금계리 부문 모집분야 주요내용 (채용직급, 지원자격, 우대사항 등) ① 상품·계리· (부채)리스크 부문 신입사원 (채용직급) 신입사원 (지원자격) 2023년 7월부터 입사 및 근무 가능한 자 (필수) 해외여행에 결격사유가 없는 자 (필수) ※ 단, 남성의 경우 병역필 또는 면제자 (서류전형 우대사항 및 가점) 수학·통계학 혹은 상경계열(경영·경제학 등) 전공자 (만점의 5%) 보험계리사(1차시험 합격자 포함), 미국보험계리사(FSA/ASA) 자격증 보유자 (각 만점의 2%) ② 재무 부문 신입사원 (채용직급) 신입사원 (지원자격) 2023년 7월부터 입사 및 근무 가능한 자 (필수) 해외여행에 결격사유가 없는 자 (필수) ※ 단, 남성의 경우 병역필 또는 면제자 (서류전형 우대사항 및 가점) 세무·회계학 혹은 상경계열(경영·경제학 등) 전공자 (만점의 5%) 회계사, 세무사, CFA, FRM 자격증 보유자 (각 만점의 2%) ③ IT 부문 신입사원 (채용직급) 신입사원 (지원자격) 2023년 7월부터 입사 및 근무 가능한 자 (필수) 해외여행에 결격사유가 없는 자 (필수) ※ 단, 남성의 경우 병역필 또는 면제자 (서류전형 우대사항 및 가점) 컴퓨터·전산·IT 관련 학과 전공자 (만점의 5%) 정보처리기사, OCJP, SQLP 자격증 보유자 (각 만점의 2%)  접수기간 및 접수방법 접수기간 : 2023년 6월 22일 (목) 09:00 ~ 2023년 7월 6일 (목) 18:00 접수방법 : 회사 홈페이지를 통한 온라인 입사지원 (ibki.career.co.kr/jobs/) 마감일은 지원서 접수가 급증할 것으로 예상되오니, 미리 접수하시기 바랍니다. 전형절차 및 합격자발표 전형절차  합격자발표 발표(예정)일 : 2023년 7월 12일 (수) 예정 발표내용 : 서류전형 결과 발표방법 : 전형 단계별 합격자 및 불합격자 개별 통보  전형단계별 평가기준 및 합격자결정 방법 등 각 전형 단계별 평가자(면접관) 세부사항 1) 서류전형 : 인사총무부장, 채용부문부서장 2) 1차면접 : 인사총무부장, 채용부문부서장, 제3부서장 3) 2차면접 : 인사담당임원, 채용부문임원, 제3임원(혹은 외부전문가) 각 전형 단계별 평가항목 및 점수배점 1) 서류전형 : 직무준비도 70점, 자기소개서 30점 2) 1차면접 : 그룹면접 60점 , 필기Test 20점, 그룹토의 20점 3) 2차면접 : 직무역량 40점, 핵심역량 60점 단계별 가점부여 기준 서류전형 가점부여 세부내용은 채용직무별 상기 내용에 의하며, 장애인(만점의 15%) 및 국가보훈대상자(만점의 5~10%)는 관련 법률에 의거 서류전형 및 1·2차면접 단계에서 가점 부여 (2023년 체험형 청년인턴) 우수인턴으로 선정된 자가 1차 면접에 응시하게 될 경우, 관련 품의에 의거 필기시험 우대가점(만점의 10%)을 부여토록 함 복수의 우대사항 적용되는 경우, 단계별 우대가점의 합산비율은 최대 15% 단계별 합격인원 전형 단계별 합격자는 평가점수 고득점자 순으로, (채용인원 기준) 서류전형은 5배수 이내, 1차면접은 3배수 이내에서 합격자를 선정 단계별 합격자로 선정된 지원자의 포기의사 등으로 단계별 합격인원에 결원이 발생할 경우, 해당 단계 평가 순위표에 의한 고득점자 순으로 합격인원 범위 내에서 합격자를 보충하여 선정할 수 있음 단계별 동점자 처리기준 전형 단계별 동점자 발생시에는 합격인원을 초과하더라도 전원 합격처리 하며, 단, 2차면접 결과 선발예정 인원을 초과한 동점자 발생시 아래 순서로 합격자를 선정 제출서류 : 국문 입사지원서(채용홈페이지를 통한 온라인 제출) 문의처 및 유의사항 문의처 회사 채용홈페이지 내 Q&A 채용담당자 : 민년기 차장 (02-2270-1602 / ******@*******.***)  기타 유의사항 접수가능 일정 및 접수시한을 준수 바랍니다. 온라인지원 접수마감 : 2023년 7월 6일 (목) 18:00시 까지 지원서 접수는 IBK연금보험 인터넷 홈페이지에서만 가능합니다. IBK연금보험은 블라인드 채용을 통해 전형단계별 출신지역, 가족관계, 사진, 학력 및 연령 등에 의한 차별적 요소를 배제하고 있습니다. 지원서 작성 및 면접단계에서 지원자가 출신지역, 가족관계, 사진, 학력 및 연령 등에 대한 사항 혹은 이를 추측할 수 있는 정보를 명시하거나 언급하는 행위가 불가하오니 참고 바랍니다. (단계별 면접전형 시에도 블라인드 채용 관련사항을 별도 안내 예정) 부정합격자는 채용이 취소되며, 채용비리 등으로 인한 피해자는 차순위 지원자를 대상으로 구제조치 예정 (채용비리 관련 징계시효는 5년이며, 해당 후보자는 해당 기간동안 재 지원 불가) 채용전형 중 직무관련 능력, 역량 및 수행업무 사실여부 등에 대한 확인을 위해 (경력직)지원자를 대상으로 평판조회를 실시할 수 있으며, 이에 동의하는 경우에 한하여 지원 바랍니다. 채용공고 관련 상기 외의 사항은 관계 법령, 당사 취업규칙 및 인사규정 등을 따릅니다. 장애인 및 보훈대상자는 관련 법률에 의거 우대합니다. 채용서류의 반환 관련사항 <채용절차의 공정화에 관한 법률>에 근거하여, 최종합격자 발표 후 제출한 서류일체는 입사 전 반환을 요청할 수 있음 단, 최종합격하여 입사한 자, 채용사이트 또는 전자우편을 통해 제출한 서류는 반환대상 에서 제외","https://c.incru.it/newjobpost/2023/06_ibk/ibk2.png, https://c.incru.it/newjobpost/2023/06_ibk/list.png",,정규직 [수습기간: 0개월],신입,"서울 > 중구, 전지역, 전국 > 전지역, 경기 > 전지역, 인천 > 전지역, 전국 > 전지역, 서울 > 종로구, 서대문구, 영등포구, 서초구, 강동구, 강북구, 강남구, 강서구, 노원구, 금천구, 마포구, 송파구, 양천구, 은평구, 성북구, 동작구, 구로구, 광진구, 동대문구, 성동구, 용산구, 중랑구, 관악구, 도봉구",학력무관,회사내규,,아이비케이연금보험(주),보험·연금,https://job.incruit.com/jobdb_info/jobpost.asp?job=2306230002637
웹개발,2023년 일반직(신입사원) 채용,~06.26 (월),"전산·IT기술지원, 구매·자재, 세무·회계, 재무·자금·IR, 인사·채용·인재개발(HRM·HRD), 시설·환경·안전·플랜트, 보건·원무, 웹프로그래머, 영업관리·영업지원,",,"https://c.incru.it/ss/2023/06/jej000001.png, https://c.incru.it/ss/2023/06/jej000002.png",,인턴 [근무기간: 1년 | 정규직 전환검토],신입,"서울 > 전지역, 대구 > 전지역",학력무관,회사내규,,(주)제주항공,항공운송,https://job.incruit.com/jobdb_info/jobpost.asp?job=2306140003209
웹개발,2023년 제 8차 IBK연금보험 각 부문 경력/신입 공개채용 (~7/6),~07.06 (목),"전산·IT기술지원, 금융사무·심사·추심, 세무·회계, 경영·기획·전략, 일반사무·사무지원, 총무·법무·특허, 웹프로그래머, 통신·모바일, 네트워크·서버·보안, 기술영업,","접수기간 및 접수방법 접수기간 : 2023년 6월 22일 (목) 09:00 ~ 2023년 7월 6일 (목) 18:00 접수방법 : 회사 홈페이지를 통한 온라인 입사지원 (ibki.career.co.kr/jobs/) 마감일은 지원서 접수가 급증할 것으로 예상되오니, 미리 접수하시기 바랍니다. 전형절차 및 합격자발표 전형절차 (합격자 발표는 예정일이 서로 상이합니다.) 제출서류 : 국문 입사지원서(채용홈페이지를 통한 온라인 제출) 문의처 및 유의사항 문의처 회사 채용홈페이지 내 Q&A 채용담당자 : 민년기 차장 (02-2270-1602 / ******@*******.***)  기타 유의사항 접수가능 일정 및 접수시한을 준수 바랍니다. 온라인지원 접수마감 : 2023년 7월 6일 (목) 18:00시 까지 지원서 접수는 IBK연금보험 인터넷 홈페이지에서만 가능합니다. IBK연금보험은 블라인드 채용을 통해 전형단계별 출신지역, 가족관계, 사진, 학력 및 연령 등에 의한 차별적 요소를 배제하고 있습니다. 지원서 작성 및 면접단계에서 지원자가 출신지역, 가족관계, 사진, 학력 및 연령 등에 대한 사항 혹은 이를 추측할 수 있는 정보를 명시하거나 언급하는 행위가 불가하오니 참고 바랍니다. (단계별 면접전형 시에도 블라인드 채용 관련사항을 별도 안내 예정) 부정합격자는 채용이 취소되며, 채용비리 등으로 인한 피해자는 차순위 지원자를 대상으로 구제조치 예정 (채용비리 관련 징계시효는 5년이며, 해당 후보자는 해당 기간동안 재 지원 불가) 채용전형 중 직무관련 능력, 역량 및 수행업무 사실여부 등에 대한 확인을 위해 (경력직)지원자를 대상으로 평판조회를 실시할 수 있으며, 이에 동의하는 경우에 한하여 지원 바랍니다. 채용공고 관련 상기 외의 사항은 관계 법령, 당사 취업규칙 및 인사규정 등을 따릅니다. 장애인 및 보훈대상자는 관련 법률에 의거 우대합니다. 채용서류의 반환 관련사항 <채용절차의 공정화에 관한 법률>에 근거하여, 최종합격자 발표 후 제출한 서류일체는 입사 전 반환을 요청할 수 있음 단, 최종합격하여 입사한 자, 채용사이트 또는 전자우편을 통해 제출한 서류는 반환대상 에서 제외","https://c.incru.it/newjobpost/2023/06_ibk/intro_01.png, https://c.incru.it/newjobpost/2023/06_ibk/intro_02.png, https://c.incru.it/newjobpost/2023/06_ibk/list.png",,정규직 [수습기간: 0개월],신입/경력4년이상,"서울 > 중구, 전지역, 전국 > 전지역, 경기 > 전지역, 인천 > 전지역, 전국 > 전지역, 서울 > 종로구, 서대문구, 영등포구, 서초구, 강동구, 강북구, 강남구, 강서구, 노원구, 금천구, 마포구, 송파구, 양천구, 은평구, 성북구, 동작구, 구로구, 광진구, 동대문구, 성동구, 용산구, 중랑구, 관악구, 도봉구",학력무관,회사내규,,아이비케이연금보험(주),보험·연금,https://job.incruit.com/jobdb_info/jobpost.asp?job=2306230002733
웹개발,[SK마이크로웍스/SK마이크로웍스솔루션즈] 2023년도 3분기 신입/경력 구성원 영입,~07.03 (월),"웹디자인, 생산관리, 연구원·연구개발, 전자·반도체, 웹프로그래머, HTML·퍼블리싱·UI개발, 웹기획·웹마케팅·PM, 컨텐츠·사이트운영, 기술영업, 품질관리,","※ SK그룹 공채와 중복 지원 가능 (대졸 초임 4,800 여 만원) ",https://f.incru.it/recruiter/jobpost/0004960851/2306210000450/base64img/1687309149764.png,,정규직,신입/경력(연차무관),"충남 > 전지역, 충북 > 전지역, 진천군, 경기 > 전지역, 수원시 팔달구, 수원시 장안구, 수원시 영통구, 수원시 권선구",대졸이상,회사내규,,SK마이크로웍스솔루션즈 주식회사,전기·전자·반도체,https://job.incruit.com/jobdb_info/jobpost.asp?job=2306210000450
웹개발,두산이노베이션 2023년 경력직 채용공고,~07.31 (월),"전산·IT기술지원, 응용프로그래머, 네트워크·서버·보안, ERP·시스템분석·설계, 웹프로그래머, HTML·퍼블리싱·UI개발, 소프트웨어·하드웨어, 데이터베이스·DBA,",,https://c.incru.it/ss/2023/06/Career-DOOSAN02.png,,정규직,경력(연차무관),"경기 > 용인시 기흥구, 용인시 처인구, 용인시 수지구, 경남 > 창원시 진해구, 창원시 성산구, 창원시 마산합포구, 창원시 마산회원구, 창원시 의창구, 서울 > 중구, 해외 > 전지역",학력무관,회사내규,,(주)두산디지털이노베이션BU,소프트웨어·솔루션·ASP,https://job.incruit.com/jobdb_info/jobpost.asp?job=2306070004211
웹개발,"[홈페이지지원] [신입,경력/청내공] QA,테스터 검증: 퀴즈풀이필수",상시,"웹프로그래머, 응용프로그래머",,https://www.synapsoft.co.kr/recruit/re_20230105.png,,정규직 [수습기간: 2개월],신입/경력3년이상,서울 > 강서구,학력무관,협의,,(주)사이냅소프트,소프트웨어·솔루션·ASP,https://job.incruit.com/jobdb_info/jobpost.asp?job=2306010006613
웹개발,미디어·스포츠·엔터테인먼트 경영 매니저 채용(경력사원),채용시,"웹프로그래머, 경영·기획·전략, 임원·경영분석·컨설팅","(주)더컬렉티브씨 미디어·스포츠·엔터테인먼트 경영 매니저 채용(경력사원) TCC에서는 스포츠/미디어/엔터테인먼트 매니저를 찾고 있습니다. 이 역할은 각각의 산업에서 클라이언트를 대상으로 글로벌 비즈니스 개발 컨설팅 서비스를 제공합니다. SME 매니저는 스포츠/미디어/엔터테인먼트 산업의 클라이언트와 함께 목표를 계획하고 전략을 수립하며, 비즈니스를 해외로 함께 확장하는 서포트 역할을 수행합니다. SME 매니저는 잠재적인 클라이언트에게 TCC의 다양한 서비스 제공을 위한 커뮤니케이션도 담당합니다. 추가적으로는 업계 관련자들과 꾸준하게 네트워킹하는 역할도 있을 것입니다. SME 매니저는 해당 산업의 관계자, 특히 에이전트, 임원, 크리에이티브 전문가 및 기타 SME 산업의 전문가들과 커뮤니케이션하는 것을 즐기는 분 이 기를 희망합니다.  모집부문 및 자격요건 모집부문 담당업무 필수/우대 요건 인원 스포츠/미디어/엔터테인먼트 매니저 [담당업무] 클라이언트를 위한 비즈니스 전략 수립 및 제안 예산편성, 일정 계획 및 실행을 포함한 프로젝트 상태 관리 및 모니터링 관련 업계의 클라이언트, 에이전트, 전문가, 크리에이티브 등과 소통 담당 지속적인 SME 산업 관련 뉴스 및 트렌드 파악 SME 산업의 전문가들과 꾸준한 네트워킹 [자격요건] 학사 / 관련 분야 석사 / MBA 7년 이상의 관련 경험 스포츠/미디어/엔터테인먼트 산업에서의 경험은 특히 이전 역할에 에이전트, 프로듀서, 스튜디오/네트워크/협회 의 업무 경험이 있는 경우 선호 여러 클라이언트 및 프로젝트를 동시에 처리한 경험 주어진 상황에서 민첩성과 유연성을 발휘할 수 있는 능력 배우고 위험을 감수하려는 의지 해외 여행 또는 해외 거주 경험이 풍부해야 함 리서치 능력이 월등해야 함 표현력이 뛰어나고 외향적이어야 하며, 사교적인 성격 주어진 상황에서 편견 없는 태도와 관점을 가진 직업 윤리의 최고 기준을 가져야 한다 Microsoft Office, Google Suite, Adobe Suite 등과 같은 오피스용 소프트웨어 사용 능력 한국어는 필수, 영어는 능력 우대 0 명 근무조건 고용형태: 정규직(수습기간3개월) 급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격 추가 제출서류 이력서, 자기소개서 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,정규직 [수습기간: 3개월],경력(연차무관),서울 > 종로구,대졸이상,협의,"영어 (회화능통, 독해능통, 작문능통)",(주)더컬렉티브씨,인터넷·포털·컨텐츠·게임,https://job.incruit.com/jobdb_info/jobpost.asp?job=2304030004942
웹개발,"(주)딥인스펙션 웹서비스 개발자 채용(JSP, JAVA, Spring)(서울근무)",~08.31 (목),웹프로그래머,"우리 회사에 대해 4줄 이내로 소개해주세요 웹서비스 개발자 채용(JSP, JAVA, Spring) (서울근무) (주)딥인스펙션 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 웹서비스 개발자 ㆍ웹서비스 개발(프론트/백엔드) ㆍSW 설계문서 작성 자격요건 ㆍ경력 : 경력 4년 이상 ㆍ팔수자격요건 : SI 프로젝트 수행 가능자 ㆍ개발언어    - Java/JavaScript/JSP/SQL    - React/Node.js    - Spring Framework 웹 서비스 개발 가능자  우대조건 ㆍSI 프로젝트 수행 유경험자 ㆍ컴퓨터공학 관련 전공자 ㆍ석사학위 수여자 ㆍ정부R&D과제 수행경력자 ㆍ정보처리기사 자격증 소지자   근무조건 ㆍ정규직  ㆍ수습3개월  ㆍ근무지 : (05836) 서울 송파구 법원로11길 25 에이치비지니스파크 A동 13층 1314호, 1315호(문정동)   업무내용 ㆍ전자정부프레임워크  기반 웹서비스 개발 프로젝트 ㆍ다년간의 프로젝트로 분석부터 설계, 개발, 서비스까지 단계별로 산출물 작성과 개발을 할 수 있음 ㆍ안정적인 프로젝트 관리와 운영으로 예정된 작업 수행 가능 ㆍ자바 및 Spring 개발경험 보유자인 경우, 웹서비스 분석부터 개발, 서비스까지 실제 업무 경험을 쌓을 수 있음   연봉조건 ㆍ연봉 :  4,000만원 이상  복지  조건 ㆍ휴양 콘도 이용권 제공, 교육비 지원, 초과근무수당 지급, 야근식대 지원 0 명 근무조건 고용형태: 정규직(수습기간3개월) 근무부서: 개발사업부 급여조건: 연봉 4,000 만원 이상 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종합격 접수방법 2023-08-31 (목) 23시59분까지 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",,,정규직 [수습기간: 3개월],경력4년이상,서울 > 송파구,대졸이상,연봉 4000만원 ~ 5000만원,"전공계열 : 공학계열, 자격증 : 정보처리기사",(주)딥인스펙션,연구개발업,https://job.incruit.com/jobdb_info/jobpost.asp?job=2305300007369
웹개발,로보틱 자동화 프로세스(UiPath RPA) 개발자 정규직 채용,채용시,"응용프로그래머, 웹프로그래머, 네트워크·서버·보안","(주)씨케이넷 로보틱 자동화 프로세스(UiPath RPA) 개발자 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] UiPath RPA 개발 (O명) [자격요건]  경력 : RPA, AA 경력 1년 이상 (다년근무 경력자 연봉우대)  학력 : 학력무관  우대사항 -지능형 서비스 개발 프로젝트 유 경험자 -머신러닝 기술 활용 능력 보유자  0 명 근무조건 고용형태: 정규직(수습기간0개월) 근무일시: 주 5일(월~금) 오전9시~오후6시 급여조건: 연봉 회사내규 (면접 후 결정) 근무지역: 서울시 서초구 서운로19 서초월드오피스텔 전형단계 및 제출서류 전형단계: 서류전형 > 면접진행 > 최종합격 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서, 자유양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.",https://i.incru.it/jobTemplet/temp2018/img/temp_slogan.png,,정규직 [수습기간: 0개월],경력1~5년,서울 > 서초구,학력무관,회사내규,해당직무인턴경력자,(주)씨케이넷,소프트웨어·솔루션·ASP,https://job.incruit.com/jobdb_info/jobpost.asp?job=2102180004551
