회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
미스터카멜,"마감일
상시",DevOps Engineer,devops/시스템 엔지니어,"• 개발 실무 3년 이상 경력
• OOP 기반 개발 역량 보유
• 크롤링에 대한 이해
• 코드리뷰 가치에 대한 이해
• 읽히는 코드 작성","[우대사항]
• C# 포함 개발 실무 5년 이상 경력
• 완벽한 서비스 운영에 대한 고민 경험
• 모니터링을 통한 성능 분석과 개선에 대한 고민 경험
• 대규모 트래픽 발생과 핸들링에 대한 고민 경험
• 크롤링 방어 회피 경험
• 자신의 생각을 명확하고 간결한 표현 가능


[기술스택]
• Java Spring Boot, Data, Cloud, Security, Batch, Python TensorFlow
• **C# Data Analysis, Web Crawling(Socket, Selenium) (DevOps 주요 기술)**
• JavaScript, React, Next.js, TypeScript, React-Query (프론트엔드 주요 기술)
• Mobile WebApp(Kotlin, Swift)
• **ElasticSearch, Redis, SQS, MySQL**
• **AWS, ElasticCloud, Grafana**
• Notion, Slack, Asana, G Suite, Zoom, GitHub, Figma
• GA(GTM), Amplitude, Braze, AppsFlyer, Firebase","경력
경력 3~15년","C#
Selenium
Elasticsearch
AWS
Amazon SQS
Redis
MySQL
Grafana",https://www.jumpit.co.kr/position/10939,"# 최적의 근무 환경을 제공하기 위해 노력합니다.
[근무형태]
• 정규직 (3 month probation period)
• 월-금 10시-19시 (점심시간 자율)

[환경 및 혜택]
• 연봉 & 스톡옵션 : 동종 업계 대비 경쟁력있는 처우
• 근무 : 하이브리드 근무 시행중 (재택2+출근3)
• 장비 : 최신장비와 소프트웨어 지원 or BYOD
• 명절 : 설/추석 선물 제공
• 자기계발 : 각종 세미나 등 교육비 및 도서비 지원
• 휴가 : 자유로운 연차 사용
• 교통 : 서울역 12번출구 도보 2분 (패스트파이브 공유오피스)
• 기타 : 중소기업 소득세 감면 신청
**앞으로 마련할 다양한 복지도 함께 만들어 가요!**"
와탭랩스,"마감일
상시",데브옵스 엔지니어(DevOps Engineer)(7년 이상),devops/시스템 엔지니어,"필수 자격요건 (경력: 7~12년)
• Shell, Python 등 하나 이상 스크립트 언어 활용 가능자
• 원활한 커뮤니케이션 능력 

추가 자격요건 중 셋 이상 충족해야 합니다. 

• 무중단 대용량 서비스 운영 경험자
• CI/CD 숙련자
• 자동화 도구 개발 경험자 또는 숙련자
• 클라우드 보안업무 경험 
• Observability 개발 또는 기술지원 경험 
• Java 애플리케이션 개발 경험","• MSA 서비스 구축 및 운영 경험
• 오픈소스 모니터링 구축 경험
• ISMS, ISO 27001, CSAP 등 보안 인증 경험
• 주요 오픈소스 프로젝트 Committer 및 기여자
• B2B SaaS 업무 경험자","경력
경력 7~12년","AWS Shell
Python
Java
Linux
Ubuntu
Ruby
Node.js
Kubernetes
Rust
Go",https://www.jumpit.co.kr/position/10117,"[일하는 방식]
• 호칭은 이름 뒤에 '님'을 붙여 사용하고 직급이 없는 수평적인 문화를 지향합니다
• 불필요한 회의를 지양하며, 업무상 이슈 및 공유 사항은 필요할 때 수시로 미팅합니다.
• 매주 금요일은 업무보다는 '공유세션'이라는 이름으로 팀원 뿐만 아니라 타 직무 멤버와 협업을 장려합니다.
한 주를 되돌아보고 업무를 공유하거나 창조적 발상을 실현하기 위한 준비 시간을 갖습니다.
• 수평적 토론 문화를 지향하므로, 타 멤버에 자유롭게 피드백 의견을 제시할 수 있습니다.

[업무 환경]
• 유연근무(시차출근제) 시행으로 오전 11시까지 자율적으로 출근할 수 있습니다.
• 강남역 9번 출구에서 3분 거리에 있습니다.
• 자율복장으로 일하기 편한 옷차림이 가장 좋은 옷차림입니다.
• 최신 맥북 또는 그램이 제공됩니다.

[혜택 및 복지]
• 무제한 연차를 지원합니다. 필요한 때에 원하는 만큼 휴가를 사용할 수 있습니다.
• 복지 포인트를 연간 240만원 지원합니다.
• 본인이 읽는 책이면 어떤 책이든 회사에서 구매해 드립니다.
• 세미나, 교육 등 참석을 권장하고 비용을 지원합니다.
• 직계가족 4인까지 건강검진 비용을 제공합니다.
• 직무 관련 외부 교육 신청 비용을 지원합니다.
• 본인의 성장에 도움이 되는 업무와 연관된 강의라면 회사에서 구매해 드립니다.
• 본인과 가족 생일에는 소중한 분들과 보낼 수 있도록 16시에 퇴근합니다.
• 간식과 음료가 언제나 마련되어 있습니다.
• 금요일은 회사에서 점심식사를 제공합니다. 전직원과 함께 즐거운 식사시간을 보내세요."
챔프스터디,"마감일
상시",[해커스 교육그룹] 클라우드 엔지니어 채용,devops/시스템 엔지니어,"• 리눅스 환경에 능숙한자(centos, ubuntu, amazon linux 등...)
• 웹서비스 운용&개발 경험자(apache, nginx)
• AWS 및 기타 클라우드 경험자
• 기본적인 네트워크 이해(subnet, routing)","• 관련 전공자 및 클라우드 자격증 소지자 우대
• 웹 개발 경험이 있거나 웹 서비스에 대하여 이해도가 높은 자 우대
• 웹서버 튜닝, 트러블슈팅 기술 보유자
• 개발자와 원활한 커뮤니케이션 능력","경력
신입~25년","Linux
NoSql
Redis
React.js Boilerplate
Python
PHP
Java
MySQL
ISMS
Cloud CMS
CentOS",https://www.jumpit.co.kr/position/10459,"• 5년마다 떠나요! 2주 유급 휴가
 → 5년마다 장기근속 2주 휴가 또는 휴가비 제공

• 럭셔리 소노호텔앤리조트 전용객실 제공
 → 임직원 소노호텔앤리조트(홍천/양양/삼척) 전용객실 제공

• 해커스 강남역 ZONE / 해커스 종로 ZONE
 → 식당/카페/안과/피부과/성형외과 등 100여개 제휴할인

• 자유로운 휴무 사용
 → 연차/출산휴가/육아휴직

• 재택근무 신청제 운영 중(3개월 시용이후) 

• 자신만의 개성을 살리는 자유로운 복장

• 해커스 온/오프라인 강의 무료 제공

• 다양한 커리어 성장의 기회 제공!
 → 개발직무에 필요한 실무교육 무료제공

• 모닝토스트 & 밀크 제공
 → 바쁜 자취생을 위한 아침 제공
 
• 정기 건강검진 제공

• 독감 예방 접종 

• 경조금 및 경조휴가, 화한/조화 발송

• 명절선물 및 상여금 지급

• 사내 카페테리아
 → 해커스인이라면 누구나 임직원 할인!

• 플렉서블 탄력 근무제
 → 열심히 일한 당신의 출근 시간을 조정해드려요.

• 수평적인 회의문화 및 전직원 '프로' 호칭통일
 → 의견은 자유롭게, 업무는 프로답게! 누구에게나 열린 기회와 빠른 성장

• 사무실 내 공기청정기 비치

• 사내 도서관 운영
 → 읽고 싶은 책 마음껏 읽어요! 필요한 도서 무제한 제공

#재택근무 #장기근속휴가 #탄력근무제 #경조휴무 #경조금 #간식제공 #해커스강의 #휴양소 #휴가비 #자유로운복장 #건강검진 #사내카페 #공기청정기"
티에스엔랩,"마감일
상시",Python/DevOps 개발자 채용,devops/시스템 엔지니어,"[어떤 사람을 채용하나요?]
• Private Cloud를 설치해본 경험이 있어야합니다.
• Python에 익숙해야 합니다.
• 학부 수준의 컴퓨터공학 지식을 가지고 있어야합니다.
• Linux에 익숙해야 합니다.","[우대사항은 Option입니다.]
• IT 관련 학과, 수학과 졸업자면 좋습니다.
• MLOps에 대해 알고 있으면 완전 좋습니다!","경력
신입~3년","python
Linux",https://www.jumpit.co.kr/position/15211,"[복지 정책은 어떻게 되나요?]
• 웬만한 중견기업 못지 않은 복지 정책을 지원
• 임직원 연차 구분 없이 20일 휴가
• 임직원 연차 구분 없이 20일 워케이션 (정직원)
• 학사/석사/박사 학비 지원 (이사회 결의)
• 개인 상담 비용 1년 10회까지 비용의 80% 지원 (정직원)
• 재택이 어렵지만 출근도 어려울 경우 공유오피스 비용을 월 20만원까지 지원
• 월 5만원의 사무용품/간식비를 지원
• 소프트웨어 공제조합과 과학기술인 공제회를 통한 여러 복지 서비스를 제공
• 과학기술인 공제조합에서 퇴직금을 관리해 퇴직금 보호
• 생명/손해보험에 가입, 키보드 치다 손가락 다치면 보험 청구가 가능 (정직원)

[어디에서 일 하나요?]
• 재택근무가 기본입니다.
• 출근을 원하신 경우 용인의 기흥역에서 걸어서 10분 거리에 있는 기업부설연구소로 출근하면 됩니다.

[연봉은 어떻게 되나요?]
• 기존의 경력과 동일한 분야인 경우 기존 직장의 연봉 이상으로 협상합니다."
와탭랩스,"마감일
상시",주니어 데브옵스 엔지니어(DevOps Engineer),devops/시스템 엔지니어,"[필수 자격요건]
• 경력: 신입~3년
• Shell, Python 등 하나 이상 스크립트 언어 활용 가능자
• Cloud Native 지식 
• 원활한 커뮤니케이션 능력 

[추가 자격요건] 아래 중 하나 이상 충족해야 합니다. 
• Testability 향상에 대한 관심 
• Securability 향상에 대한 관심 

[Team 기술]
와탭랩스 DevOps 팀은 비즈니스 서비스 개발을 제외한 모든 기술 범주의 일을 처리합니다. 
구성원은 한가지 이상 고도의 전문 분야를 가지고 있으며 넓은 범위의 기술을 활용합니다. 

• 멀티 클라우드에서 24시간 서비스를 제공합니다. 
• Ubuntu Linux 를 주력으로 다양한 OS 환경을 활용합니다. 
• KVM, OpenStack 가상화 도구를 활용합니다. 
• Kubernetes 를 활용합니다. 
• Serveless FaaS 기술을 활용합니다. 
• Script 부터 Java, Go, PHP, Python, NodeJS, Ruby, .Net, Rust 등을 상황에 따라 사용합니다. 
• Infra as a Code, Docs as a Code 같은 자동화 기술을 적극 활용합니다. 
• 이슈 분석을 위해 Linux Kernel, VM 내부 까지 추적합니다.
• Asciidoctor, Notion 을 활용해 기술문서를 작성합니다.","• 오픈소스 모니터링 구축 경험
• 주요 오픈소스 프로젝트 Committer 및 기여자","경력
신입~3년","AWS Shell
Python
Java
Go
PHP
Node.js
Ruby
.NET
Rust
Linux",https://www.jumpit.co.kr/position/17203,"[일하는 방식]
• 호칭은 이름 뒤에 '님'을 붙여 사용하고 직급이 없는 수평적인 문화를 지향합니다
• 불필요한 회의를 지양하며, 업무상 이슈 및 공유 사항은 필요할 때 수시로 미팅합니다.
• 매주 금요일은 업무보다는 '공유세션'이라는 이름으로 팀원 뿐만 아니라 타 직무 멤버와 협업을 장려합니다.
한 주를 되돌아보고 업무를 공유하거나 창조적 발상을 실현하기 위한 준비 시간을 갖습니다.
• 수평적 토론 문화를 지향하므로, 타 멤버에 자유롭게 피드백 의견을 제시할 수 있습니다.

[업무 환경]
• 유연근무(시차출근제) 시행으로 오전 11시까지 자율적으로 출근할 수 있습니다.
• 강남역 9번 출구에서 3분 거리에 있습니다.
• 자율복장으로 일하기 편한 옷차림이 가장 좋은 옷차림입니다.
• 최신 맥북 또는 그램이 제공됩니다.

[혜택 및 복지]
• 무제한 연차를 지원합니다. 필요한 때에 원하는 만큼 휴가를 사용할 수 있습니다.
• 복지 포인트를 연간 240만원 지원합니다.
• 본인이 읽는 책이면 어떤 책이든 회사에서 구매해 드립니다.
• 세미나, 교육 등 참석을 권장하고 비용을 지원합니다.
• 직계가족 4인까지 건강검진 비용을 제공합니다.
• 직무 관련 외부 교육 신청 비용을 지원합니다.
• 본인의 성장에 도움이 되는 업무와 연관된 강의라면 회사에서 구매해 드립니다.
• 본인과 가족 생일에는 소중한 분들과 보낼 수 있도록 16시에 퇴근합니다.
• 간식과 음료가 언제나 마련되어 있습니다.
• 금요일은 회사에서 점심식사를 제공합니다. 전직원과 함께 즐거운 식사시간을 보내세요."
티에스엔랩,"마감일
상시",네트워크 프로토콜 개발자 채용,devops/시스템 엔지니어,"[어떤 사람을 채용하나요?]
• C 언어에 익숙해야 하고, Rust를 할 수 있으면 좋습니다. 실무는 Rust 90%, C 10% 정도 사용합니다.
• 학부 수준의 네트워크 지식을 가지고 있어야합니다.
• Linux에 익숙해야 합니다.","[우대사항이 있나요?]
• IT 관련 학과, 수학과 졸업자면 좋습니다.
• Linux의 eBPF, DPDK에 대한 사전 지식이 있으면 좋습니다.
• 우대사항은 Option입니다.","경력
신입~3년","C
Rust
Python
Network
Linux",https://www.jumpit.co.kr/position/17855,"[복지 정책은 어떻게 되나요?]
• 웬만한 중견기업 못지 않은 복지 정책을 지원
• 임직원 연차 구분 없이 20일 휴가
• 임직원 연차 구분 없이 20일 워케이션 (정직원)
• 학사/석사/박사 학비 지원 (이사회 결의)
• 개인 상담 비용 1년 10회까지 비용의 80% 지원 (정직원)
• 재택이 어렵지만 출근도 어려울 경우 공유오피스 비용을 월 20만원까지 지원
• 월 5만원의 사무용품/간식비를 지원
• 소프트웨어 공제조합과 과학기술인 공제회를 통한 여러 복지 서비스를 제공
• 과학기술인 공제조합에서 퇴직금을 관리해 퇴직금 보호
• 생명/손해보험에 가입, 키보드 치다 손가락 다치면 보험 청구가 가능 (정직원)

[어디에서 일 하나요?]
• 재택근무가 기본입니다.
• 출근을 원하신 경우 용인의 기흥역에서 걸어서 10분 거리에 있는 기업부설연구소로 출근하면 됩니다.

[연봉은 어떻게 되나요?]
• 경력자의 경우 기존의 경력과 동일한 분야인 경우 기존 직장의 연봉 이상으로 협상합니다.
• 신입이고 바로 실무를 시작할 수 있는 경우 3,600만원
• 신입이고 3개월 정도 훈련 후 실무를 할 수 있는 경우 3,000만원 (6개월 후 연봉 인상)
• 신입이고 실력은 없지만 재능 만땅인 경우 최저임금 (6개월 후 연봉 인상)
• 경력 신입 무관하게 첫 3개월은 인턴이며 월급의 80%를 지급합니다."
알지티,"마감일
상시",스마트시스템 팀장,devops/시스템 엔지니어,"• 학력 : 관련학과 졸업자
• C/C++, Python 언어 등의 기본적인 이해
• visual C# 혹은 PyQt 익숙한 분
• KDS(Kitchen Display System), KMS(Kitchen management system) 개발경험이 있으신분
• 임베디드, 모바일 시스템을 ROS 기반 로봇 연동 설계, 개발 가능하신 분
• 하드웨어 설계 및 로봇 자동화 시스템 운용에 대한 기본적인 이해를 하시는 분
• 아두이노 FW작업을 통해 서빙로봇 연동이 가능하신 분
• 자율주행 서빙로봇 컨트롤 및 연동 시스템 개발에 관심이 많은 분","• POS 시스템 혹은 VAN사 서비스 연동 개발 유경험자
• MCU를 통해 다양한 유형의 센서 사용 경험이 있으신 분
• Mysql 및 MSSQL, ORACLE 등의 RDBMS 시스템 개발 유경험자
• 리눅스(ubuntu) 개발환경 익숙한 분
• 로봇 주행 및 운영에 필요한 제반 시스템 설계 및 개발 경험자","경력
경력 3~20년","C
C++
PyQt
ROS
Arduino
MCU
MySQL
Python
C#",https://www.jumpit.co.kr/position/16995,"• 자유로운 연/월차 사용
• 간식 제공
• 중,석식 제공
• 자녀 학자금 지원
• 상여금 및 복지비 지급"
알지티,"마감일
상시",Smart system engineer,devops/시스템 엔지니어,"• C++ 능숙자
• KIOSK 시스템 개발 경험자
• hooking 개발 경험자
• 학력 : 공학 계열 대졸이상 (졸업예정자가능)
• 경력 : 경력무관","• KDS, POS, KMS 등 개발 경험자
• ROS1, ROS2 개발 경험자
• 영어능통자","경력
신입~10년","C++
ROS",https://www.jumpit.co.kr/position/8687,"• 자유로운 연/월차 사용
• 간식 제공
• 중,석식 제공
• 자녀 학자금 지원
• 상여금 및 복지비 지급"
알티엠,"마감일
상시",DevOps/시스템 관리자(3년 이상),devops/시스템 엔지니어,"• DevOps 직무 또는 연관 업무 경력 3년 이상인 분
• AWS 인프라 사용 경험
• 리눅스 사용 경험
• 다양한 오픈 소스 도입에 적극적인 분
• Shell Script 기반 작업이 원활한 분
• MSA 아키텍쳐 (kubernetes) 구축 경험 있으신 분
• 인프라 전반에 대한 지식을 보유하신 분
• A-Z를 직접 구축해보고 싶으신 분

※ 본인이 진행했던 프로젝트에 대한 ""포트폴리오를 반드시 제출""해주세요","• Cloud , On-Premise 기반 인프라에 대한 전반적인 지식을 보유하신 분
• CSP 클라우드 네이티브 보안 서비스에 대한 이해 또는 관련 경험 있으신 분
• AI 솔루션에 대한 이해
• Devops Observability 에 대한 이해
• Terraform 또는 Ansible 기반의 오케스 트레이션 및 프로비져닝 운영 경험
• istio 를 이용한 service mesh 구성 경험
• 고가용성 설계 경험","경력
경력 3~7년","AWS
Kubernetes
Terraform
Linux",https://www.jumpit.co.kr/position/17821,"1. 쾌적한 업무 공간을 제공합니다
• 강남역 바로 인근의 쾌적한 워크스페이스 제공
• 고사양의 최신 장비 지원: 300만 원 한도 내 자유롭게 장비 세팅 가능

2. 각자 효율 좋은 시간대에 근무합니다
• 코어타임제: 10:30-15:30 코어타임을 중심으로 자유출퇴근
 (일 근무시간과 관계없이 주 35시간을 기준으로 근무) 
• 자유로운 연차 사용

3. 알티엠은 배고픔을 모릅니다
• 중식 제공: 메뉴 선택 자유 (월 20만원)
• 간식 무한 제공: 탄산수, 구운란, 각종 과자, 제로콜라, 핫초코, 캡슐커피, 컵라면, 초콜릿, 견과 등 다양한 간식 상시 구비 

4. 회사와 개인의 동반 성장을 추구합니다
• RTM Point 지급: 월 10만 원의 복지 포인트
• 사내 그룹스터디 운영
• 직무발명보상제도 운영

5. 기타 복지
• 경조사비 지원
• 온라인 강의 수강권 제공
• 수평적 호칭 문화
• 사업계획 달성 시 모든 구성원 스톡옵션 지급"
롯데e커머스,"마감일
상시",DevOps,devops/시스템 엔지니어,"• 5년 이상 해당 분야 경력(Devops 경험)을 보유하신 분
• AWS 아키텍처 설계, 대규모 Kubernetes 설계/구축/운영 역량을 보유 하신 분
• MSA 기반 Application Architecture 기반 시스템 운영 경험이 있으신 분
• EKS 환경의 Gitlab기반으로 CI/CD 자동화 파이프라인 설계/구축/운영 역량 보유하신 분
• IaC를 통한 시스템 운영 / 관리 경험이 있으신 분
• Python 개발 경험과 문제해결 능력 및 자동화 경험이 있으신 분
• AWS 클라우드 시스템 운영 경험이 있으신 분
• DevOps Roadmap의 각 영역별 하나 이상의 기술 역량이 있으신 분 
 (https://roadmap.sh/devops)","• IT플랫폼/E-Commerce 업계 경험이 있으신 분 
• 어플리케이션 아키텍처 패턴 설계 및 구축 경험이 있으신 분 
• 프로젝트 매니징(PM) 경험이 있으신 분
• 장애인 복지법에 의한 등록 장애인 우대","경력
경력 5~10년","AWS
Kubernetes
MSA
Amazon EKS
Python",https://www.jumpit.co.kr/position/17073,"주요 복리후생 (* 복리후생 항목은 회사 경영상황에 따라 변동될 수 있습니다.) 
• 롯데 임직원 W카드 발급 (롯데 계열사별 할인 5~40%)
• 자녀 학자금 (유아, 대학생)
• 복지포인트 지급
• 건강검진(복지포인트 활용)
• 자기계발지원금(외부교육/자격증취득) 지원
• 개인연금 지원
• 단체보험 지원
• 출산선물(과일바구니, 분유) 지급
• 유연근무제
• 자율적인 휴가 사용(자가 승인, 반차, 반반차, 기부 등)
• 3년 단위 안식 휴가 부여
• 여가/문화생활 지원
• 경조지원(경조금, 장례서비스)"
