회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
이스트게임즈,"마감일
상시",캐주얼게임 서버 개발 담당자,게임 서버 개발자,"• 프로그래밍 관련 전공자
• 게임 개발 경험 및 지식 보유자","• DBMS(MySQL, MongoDB), Node.js, 리눅스 OS 경험 및 지식 보유자","경력
신입~10년","Node.js
MySQL
MongoDB
Linux
C#
C++
Redis
GitHub
Jenkins",https://www.jumpit.co.kr/position/1649,"[ESTGames Life]
즐거운 사람이 재미있는 게임을 만들수 있다는 생각으로 임직원의 Work & Life 밸런스를 위해 노력합니다.

① Fun, In and out
즐거운 게임은 즐겁게 일하는 사람들 손에서 나옵니다. 이스트게임즈는 즐겁게 일할 수 있는 환경을 제공하기 위해 노력합니다.
• 복지 포인트 (원하는 곳에 내 마음대로!)
- 여행/공연/자기계발/쇼핑 등 다양한 분야에서 자유롭게 사용 가능한 복지포인트 지급
• 사내 카페테리아 (편안한 휴식 시간을 위한 우리만의 전용 공간)
- 회사 근처 유명 카페 입점
- 제조 음료 할인 및 베이커리 판매
• 축하 이벤트 (즐거운 날, 더 즐거울 수 있도록!)
- 졸업, 수습 종료 축하 이벤트
- 자녀 초등학교 입학 축하 이벤트
- 장기근속 축하 리프레시 휴가 지원

② Life, In and out
우리는 회사의 구성원이기 전에 한 가족의 구성원입니다. 이스트게임즈는 보다 풍요롭고 행복한 회사 생활을 위해 가족과의 행복한 삶을 지원합니다.
• 가족 친화 제도 (행복한 가정, 행복한 회사)
- 출산 축하 선물, 육아 수당
- 소노, 한화 리조트 지원
- 제주캠퍼스 게스트룸 지원
• 건강 관리 지원 (그 누구도 아프지 않도록)
- 건강검진 및 휴가 지원
- 병가 및 단체보험
• 경조사 지원 (마음을 함께해요)
- 경조사 휴가, 경조금 지원
- 화환, 꽃바구니, 상조 용품 지원

③ Freedom, with Responsibility
오늘도 열심히 일한 당신! 자유롭게 게임하고, 자유롭게 휴가쓰고, 자유롭게 퇴근하세요.
• 자기 주도적인 업무 환경 (업무에 몰입할 수 있도록!)
- 시차출퇴근제
- 원격근무 지원
- 시간 연차 제도(2시간 단위)
- 기여에 따른 차등 보상제
• 게임 캐시 지원 (게임 개발을 위한 플레이 경험은 필수!)
- 자사 게임 캐시 지원
• 자기계발 지원 (성장하고 싶은 당신에게)
- 외부 교육 및 세미나 지원
- 도서, 학비 지원
- 금융상품 가입 지원(과학기술인공제회 협약)"
에이치투케이,"마감일
상시",[경력] 유니티 개발자,게임 서버 개발자,"[당신을 기다립니다]
• 개발을 재미있어 하시는 분
• Unity와 C#에 대한 폭 넓은 이해와 경험이 있으신 분
• 자료구조 및 알고리즘에 대한 높은 이해도를 가지신 분
• 긍정적 마인드로 원활한 의사소통이 가능하신 분
• 새로운 기술에 대한 두려움이 없고 학습 속도가 가파르신 분","[놓치고 싶지 않아요]
• Unity 개발 및 서비스 운영 경험이 많으신 분
• Android, iOS 앱으로 출시 경험이 많으신 분 (결제 및 SNS 간편가입 모듈 경험 특히 우대)
• Unity 애니메이션 제작 경험이 많으신 분 (디자인 제외)
• Unity Physics 및 Particle System 개발 경험이 많으신 분
• Unity App과 WAS 간의 통신 개발 경험이 많으신 분 (비동기 로직 처리)
• Unity IAP 개발 경험이 많으신 분
• Native Plugin 개발 기술을 보유하신 분 (Android, iOS)
• Firebase SDK를 다양하게 사용해보신 분 (Analytics, DynamicLinks, CloudMessaging 등)
• LINQ 또는 SQLite를 능숙하게 다루시는 분
• Github, Github Actions을 능숙하게 다루시는 분","경력
경력 5~20년","Unity
C#",https://www.jumpit.co.kr/position/16318,"[임직원의 성장과 몰입을 위해 H2K는 지원을 아끼지 않습니다] 
1. 에듀테크 분야 1위 한글 교육 앱을 만들고 있는 최고의 팀과 동료들이 있습니다.
2. 몰입과 성과만큼 보상하는 것이 최고의 복지임을 인정하는 철학을 갖고 있습니다.
3. 매년 스톡옵션을 협상합니다.
4. 일하고 싶을 때 일합니다.
• 10:00 - 15:00 집중소통시간 외에는 근무 시간을 자유롭게 사용합니다.
• 따로 근무 시간을 관리하거나 체크하지 않습니다.
• 휴가는 원할 때, 별도의 승인 없이 자유롭게 사용합니다.
5. 원격 근무를 허용합니다.
• 그룹장의 승인 하에 장소에 제한 없는 원격 근무가 가능합니다.
• 코로나 19 이전부터 원격 근무를 운영하여 효율적인 원격 근무 시스템이 잘 마련되어 있습니다.
6. 임직원의 성장을 응원합니다.
• H2K는 회사와 개인의 동반 성장을 꿈꿉니다.
• 최신형 맥북과 모니터 등 원하는 장비와 도구를 지원합니다.
• 연 120만원 상당의 자기계발비를 지원합니다.
• 일 1만원 카페음료비를 지원합니다.
• 격년으로 30만원 상당의 건강검진을 지원합니다.
• 기본 연차 외 생일 반차, 연말연시 office closing, 리프레시 휴가 제도를 운영합니다.
• 다양한 경조사에 대한 경조 지원금 및 유급 휴가를 제공합니다."
미니레코드,"마감일
상시",Java 개발자,게임 서버 개발자,"• Java
• jsp 
• Spring framework
• mariaDB","• 파인튜닝 경험자
• 딥러닝 경험자","경력
경력 2~10년","Java
C#
Spring Framework
JSP
MariaDB
JavaScript",https://www.jumpit.co.kr/position/17629,"• 4대보험
• 스톡옵션 도입
• 명절 상여 및 특근수당
• 중석식 제공
• 경조금 및 경조휴가
• 간식제공 
• 월 1회 부서별 점심회식
• 자유로운 연차사용 
• 최신장비지원
• 콘도이용 지원 ""소노팰리체"" 전국 체인 1인당 연 3일 지원"
라이프페스타,"마감일
상시",모바일 메타버스 서버 개발자,게임 서버 개발자,"• 전산학 및 네트워크 관련 이해 혹은 관련분야 전공자
• Java 또는 Go 프로그래밍 가능하신 분
• RDBMS(MySQL 등)와 NoSQL(MongoDB 등)에 대한 이해가 있으신 분
• 새로운 기술 습득에 대한 호기심과 열정을 갖추신 분
• 영어로 된 레퍼런스 문서를 이해하는데 어려움이 없는 분
• 주도적으로 방향성을 수립하고 커뮤니케이션 할 수 있는 분","• 모바일 앱/게임의 출시 및 라이브 경험이 있으신 분
• AWS, Azure등 Cloud를 활용한 서비스 경험 있으신 분
• Docker를 활용한 서비스 배포 구축 또는 Kubernetes 경험이 있으신 분
• 분산 기반 글로벌 앱 혹은 게임 서비스 경험 있으신 분
• TypeScript, React.js, Angular 등 Web Front-end 개발 경험이 있으신 분","경력
신입","Java
MySQL
Linux
C++
AWS
Redis
AZURE
Vert.x
Go
NoSql",https://www.jumpit.co.kr/position/6745,"라이프페스타는 가치 있는 일과 신뢰 하는 동료와 함께, 일과 삶의 조화를 찾아가고 있습니다.

1. 사내 문화
• 서로를 존중하는 수평적 문화를 추구하며 서로 간의 호칭은 “이름+님”으로 통일합니다.
• ‘함께하는 번영’을 가치로 진정성 있게 프로젝트를 바라보고 함께 도와주고 성장하는 최고 수준의 동료들을 경험할 수 있습니다.

 2. 하이브리드 워크 시행 중
• 탄력 출근제(09시~11시)를 도입하여 유연한 근무를 진행 중에 있습니다.
• 재택 근무를 혼합하여 생산성 향상과 삶의 질의 향상을 추구 합니다.

3. 업무 환경
• 업무 성과에 따른 스톡옵션 부여
• 자율적인 연차 사용
• 듀얼 모니터 등 직군에 맞는 업무 장비 지원
• 성장을 위한 도서 구입비 지원
• 쾌적하고 자유로운 ""초""역세권 근무환경 (선릉역 1분 거리)"
이스트게임즈,"마감일
상시",게임서버,게임 서버 개발자,"• CS(Computer Science) 기본 지식을 갖춘 분
• 하나 이상의 General-purpose 프로그래밍 언어로 소프트웨어를 개발한 경험이 있는 분
• Database 관련 기본 지식을 갖춘 분
• 주변 동료들과 협업이 가능하며 책임감 있는 분
• 본인의 개발경험이나 코딩수준을 어필할 수 있는 포트폴리오 첨부 필수","• 하기의 혹은 그 외 하나 이상의 General-purpose 프로그래밍 언어로 소프트웨어를 개발한 경험이 있는 분
- C/C++, C#, JavaScript, Python, Go.
• 새로운 프로그래밍 언어를 습득하는데 어려움이 없거나 혹은 흥미를 갖고 있는 분
• OS/System Internals 관련 지식을 갖춘 분
• Windows/Linux 환경에서의 Platform-independent 개발 경험이 있는 분
• 오픈소스 기반의 설계 및 개발 경험이 있는 분","경력
신입~20년","C++
Node.js
MySQL
Docker
C
C#
JavaScript
Python",https://www.jumpit.co.kr/position/2038,"[ESTGames Life]
즐거운 사람이 재미있는 게임을 만들수 있다는 생각으로 임직원의 Work & Life 밸런스를 위해 노력합니다.

① Fun, In and out
즐거운 게임은 즐겁게 일하는 사람들 손에서 나옵니다. 이스트게임즈는 즐겁게 일할 수 있는 환경을 제공하기 위해 노력합니다.
• 복지 포인트 (원하는 곳에 내 마음대로!)
- 여행/공연/자기계발/쇼핑 등 다양한 분야에서 자유롭게 사용 가능한 복지포인트 지급
• 사내 카페테리아 (편안한 휴식 시간을 위한 우리만의 전용 공간)
- 회사 근처 유명 카페 입점
- 제조 음료 할인 및 베이커리 판매
• 축하 이벤트 (즐거운 날, 더 즐거울 수 있도록!)
- 졸업, 수습 종료 축하 이벤트
- 자녀 초등학교 입학 축하 이벤트
- 장기근속 축하 리프레시 휴가 지원

② Life, In and out
우리는 회사의 구성원이기 전에 한 가족의 구성원입니다. 이스트게임즈는 보다 풍요롭고 행복한 회사 생활을 위해 가족과의 행복한 삶을 지원합니다.
• 가족 친화 제도 (행복한 가정, 행복한 회사)
- 출산 축하 선물, 육아 수당
- 소노, 한화 리조트 지원
- 제주캠퍼스 게스트룸 지원
• 건강 관리 지원 (그 누구도 아프지 않도록)
- 건강검진 및 휴가 지원
- 병가 및 단체보험
• 경조사 지원 (마음을 함께해요)
- 경조사 휴가, 경조금 지원
- 화환, 꽃바구니, 상조 용품 지원

③ Freedom, with Responsibility
오늘도 열심히 일한 당신! 자유롭게 게임하고, 자유롭게 휴가쓰고, 자유롭게 퇴근하세요.
• 자기 주도적인 업무 환경 (업무에 몰입할 수 있도록!)
- 시차출퇴근제
- 원격근무 지원
- 시간 연차 제도(2시간 단위)
- 기여에 따른 차등 보상제
• 게임 캐시 지원 (게임 개발을 위한 플레이 경험은 필수!)
- 자사 게임 캐시 지원
• 자기계발 지원 (성장하고 싶은 당신에게)
- 외부 교육 및 세미나 지원
- 도서, 학비 지원
- 금융상품 가입 지원(과학기술인공제회 협약)"
엑스엘게임즈,"마감일
상시",[아키에이지2] 콘솔 프로그래머 (경력),게임 서버 개발자,"• 콘솔 개발 경력 3년 내외 혹은 그에 준하는 개발 실력을 보유하신 분
• Unreal Engine4 또는 5 대한 개발 경험이 있으신 분
• C++이 능숙 하신 분","• 콘솔 런칭 경험이 있으신 분
• 적극적이고 능동적인 마인드를 소유하신 분","경력
경력 3~15년","Unreal Engine
C++",https://www.jumpit.co.kr/position/13086,"• 조식, 중식, 석식 제공
• Cafeteria 운영
• 통근버스 운행
• 자기계발비 지급
• 본인, 배우자, 자녀 상해보험 가입
• 건강검진 실시 및 백신휴가 지원
• 경조사 및 근속휴가 지원
• 명절 선물 지급
• 수면실, 샤워실 제공
• 육아휴직, 출산휴가, 임신기간 단축근무 지원
• 매월 마지막 금요일 놀금 운영"
에이시티게임즈,"마감일
상시",게임서버 경력직 채용,게임 서버 개발자,"• node.js, javascript 언어 능력 보유자
• 5년 이상의 게임 서버 개발 경험이 있으신 분
• 게임 서버에 대한 이해와 개발 경험이 있으신 분","• 프로젝트 초기 개발부터 런칭까지 경험하신 분
• AWS 클라우드 환경의 개발 경험이 있으신 분
• DBMS, Nosql에 대한 설계 및 개발 경험이 있으신 분
• 블록체인 및 NFT 기술에 대한 지식과 개발 경험이 있으신 분","경력
경력 5~20년","Node.js
JavaScript
AWS
NoSql",https://www.jumpit.co.kr/position/13258,"• 탄탄한 IP게임들을 통한 재정적 안정성을 토대로 빠르게 성장하는 Web3 시장을 선점하고 성과를 만들어 가는 경험
• 긴밀하게 협업하고 빠르게 실행/도전하는 업무환경 + 업계 최고의 뛰어난 동료!
• 탁월한 보상 체계 - 개인 성과 & 회사 실적에 따른 인센티브

보상과 복지는 회사의 성장과 함께 꾸준히 발전될 예정 :)"
앤서스랩코리아,"마감일
상시",[Casino Platform] Application Server,게임 서버 개발자,"• .Net / Java 기반 Web Service Architect에 대한 경험이 3년 이상인 분
• App 개발 및 유지보수 경험이 있는 분
• 유니티 클라이언트와 멀티플레이 관련된 경험이 있는 분
• AWS 또는 Azure와 같은 클라우드 플랫폼상에서 개발 경험이 있는 분","• .Net Framework에 대한 이해가 있는 분
• 카지노, 포커등의 게임서버 개발 경험이 있는 분
• WebSocket, Message Queue 등의 구현을 해본 분 
• 실시간 토너먼트 및 관련 서비스 구현을 해본 분","경력
경력 3~10년",".NET
Java
AWS
AZURE
WebSocket
Queue",https://www.jumpit.co.kr/position/16121,"[구성원분들의 삶을 든든하게 지원해드려요]
[Benefit]
• 💳Life Style에 맞추어 사용할 수 있는 복지포인트를 지원해 드려요.(연 250만원)
• 🍱 회돈회산 점심, 저녁을 일일 최대 30,000원까지 지원해 드려요.
• ☕매일 아침 조식 서비스와 스낵바 & 음료를 무제한으로 이용하실 수 있어요.
• 💌1년에 한번 오는 생일, 축하의 마음을 담아 상품권 15만원을 드려요.
• 🍖명절엔 역시 고기! 최고급 투뿔 AA++ 한우를!! 집 앞까지 배송해 드려요.
• 💻업무를 위해 필요한 최신형 장비를 지원해 드려요.
• 👨‍👧‍👧와글와글~ 조직 활성화를 위한 비용을 매월 지원해 드려요.(월 11만원 + α)
• 💑🏻일과 동료를 알아가는 시간! 워크샵 비용을 1인당 연 40만원을 지원해 드려요.
• 🤹🏻‍♂️동료들과 함께하는 슬기로운 취미 생활을 지원해 드려요.(동호회 1인, 월 최대 10만원)
• 🤼‍♀️알고보니 내 친구가 인재?! 사내 인재추천시 추천금을 최대 1,500만원 까지 지급해 드려요.
• ⏱️시간 단위 연차 제도로 자유롭게 연차를 사용해요! 남은 연차는 모두 수당으로 지급해 드려요.
• 📚성장을 위한 교육비 연 200만원을 지원해 드려요.
• 📖직무와 관련된 도서비를 무제한으로 지원해 드려요.
• 👩‍💻직무 도서 외 e-book 서비스를 지원해 드려요.(Feat. 밀리의 서재)
• 📑단체상해보험을 지원해 드려요.(본인 + 가족 1인 지원)
• 🏣매년 100만원 상당의 대학병원 검진 & 각종 예방 접종을 지원해 드려요.
 (본인 + 최대 가족 2인 검진 지원)
• 💊전문 심리 상담 서비스를 지원해 드려요.(1인, 연간 최대 5회 상담 지원)
• 🚛이사하는 날 이사 휴가를 지원해 드려요.
• 🎎인생의 기쁨과 슬픔을 함께 나누어요. 각종 경조사 비용을 지원해 드려요.
• 🚖안전한 귀가를 위해 저녁 11시 이후 퇴근 시 택시비를 전액 지원해 드려요.
• 🚗장거리 출·퇴근을 위한 주차비를 지원해 드려요.
• 🎁환영하는 마음을 가득 담아 Welcome Kit 를 지급해 드려요.
※ 각종 복리후생 제도는 구성원들의 니즈에 따라 변경될 수 있습니다.

#지원 응답이 빠른 기업 #인센티브 #유연근무제 #맛있는간식냠냠 
#맥북으로개발 #수평적 조직 #자유복장 #반바지/슬리퍼OK #도서구입비지원 #택시비지원"
엑스엘게임즈,"마감일
상시",[아키에이지2] 엔진 프로그래머 (경력),게임 서버 개발자,"• 경력 3년 내외 혹은 그에 준하는 개발 실력을 보유하신 분
• Unreal Engine 4,5에 대한 개발 경험이 있으신 분
• 그래픽스 기술에 대한 폭넓은 이해를 갖추신 분",• 적극적이고 능동적인 마인드를 소유하신 분,"경력
경력 3~15년","Unreal Engine
C
C++",https://www.jumpit.co.kr/position/13082,"• 조식, 중식, 석식 제공
• Cafeteria 운영
• 통근버스 운행
• 자기계발비 지급
• 본인, 배우자, 자녀 상해보험 가입
• 건강검진 실시 및 백신휴가 지원
• 경조사 및 근속휴가 지원
• 명절 선물 지급
• 수면실, 샤워실 제공
• 육아휴직, 출산휴가, 임신기간 단축근무 지원
• 매월 마지막 금요일 놀금 운영"
두리번,"마감일
상시",메타버스 다중접속서버 개발자,게임 서버 개발자,"• 대규모 멀티플레이어 게임 및 메타버스 서버 개발 경험이 있으신 분
• 상용 다중 접속 서버 솔루션 개발 및 커스트마이징 경험이 있으신 분 (예 : Photon, SpatialOS 등 솔루션 활용)
• 멀티스레딩/멀티플렉싱/멀티프로세싱, Network 프로그래밍 지식을 보유 하신 분
• 대용량 서비스의 분산처리 서버 설계 및 개발 역량이 있으신 분","• Photon 또는 SpatialOS 경험이 있으신 분
• 서비스에 애정을 갖고 개발하며, 더 좋은 코드를 위해 함께 고민하는 것을 좋아하시는 분
• 페어프로그래밍, 코드리뷰 등에 거부감이 없으신 분
• 5년 이상 경력이 있으신 분","경력
경력 5~15년","Visual C++
C#
TCP/IP
Photon",https://www.jumpit.co.kr/position/15699,"• 8-11시 자율 출퇴근제
• 주 1회 맛집 점심 제공
• 장기근속자 1개월 유급 휴가
• 건강검진 풀패키지 지원(1년차 이상)
• 생일 파티 & 선물 지급
• 명절 선물 지급
• 야근 식대 & 교통비 지원
• 각종 경조사 지원 (경조휴가, 경조사비 지급)
• 퇴직연금 가입
• 분기별 인센티브 지급
• 사내 라운지 운영

[두리번 조직 문화]
• 야근 강요 없어요: 대표님만 회사에 두고 다같이 퇴근해버리기도…
• 회식 강요도 안해요: 분명히 회식이 없는데 자체 회식하는 일부 직원들이 있을 뿐…
• 복장은 자유롭게: 각자의 개성을 존중해요(문신에 피어싱까지 멋진 우리 막내)
• 연차사용도 마음대로: 정해져 있는 연차 내에서는 내키는대로 사용해도 돼요"
