대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
development-tools,Git,【한글자막】 Git & Github 실무 활용 완벽 가이드,초급자,"69,000",88000.0,17시간 주문형 동영상,"배울 내용
Git이 보이지 않는 곳에서 어떻게 작동하는지 이해합니다.
트리, 블롭, 커밋, 주석 태그와 같은 Git 객체의 차이점을 설명합니다.
추가하기와 커밋하기 같은 필수 Git 워크플로우를 익힙니다.
Git 브랜치로 작업합니다.
Git merge를 수행하고 병합 과정에서 발생한 충돌을 해결합니다.
Git diff를 사용하여 시간 경과에 따른 변경사항을 표시합니다.
Git stash 방법을 익힙니다.
Git restore, Git revert, Git reset을 사용하여 변경사항을 원래대로 되돌립니다.
로컬 및 원격 저장소를 사용하여 작업합니다.
Pull request, ‘fork 및 clone’ 등의 협업 워크플로우를 익힙니다.
더 보기",한국어,https://www.udemy.com/course/best-git-github/
development-tools,JIRA,이슈트래킹과 협업을 더 쉽게! 전문가에게 배우는 JIRA 첫걸음,모든 수준,"19,000",69000.0,6시간 주문형 동영상,"배울 내용
JIRA에 대한 이해
JIRA를 이용한 Issue Tracking 및 ALM(Application Lifecycle Management)방법
JIRA에서 제공하는 각종 기능 활용 방법
JIRA를 업무 환경에 맞게 커스터마이제이션 하는 방법",한국어,https://www.udemy.com/course/atlassian-jira-a-to-z-powered-by-open-source-consulting/
development-tools,DevOps,【한글자막】 DevOps (데브옵스) : Terraform 을 이용한 인프라 자동화,초급자,"69,000",88000.0,11시간 주문형 동영상,"배울 내용
테라폼의 고급 기능을 포함한 테라폼을 이용하고 적용하고 이해하기
테라폼을 이용해 AWS 리소스 프로비저닝하기
시험 목표에 맞춘 강의로 하시코프 테라폼 인증 준비하기
이미지를 만들기 위해 패커를 이용한 테라폼 활용하기
AWS ECS, 파게이트 그리고 코드 파이프라인과 함께 테라폼 이용하기
테라폼을 이용해 데브옵스 적용하기",한국어,https://www.udemy.com/course/best-devops-terraform/
development-tools,DevOps,【한글자막】 DevOps 학습: 파이프라인 및 Docker를 이용한 Jenkins 와의 CI/CD,모든 수준,"48,000",59000.0,4.5시간 주문형 동영상,"배울 내용
젠킨스를 사용하여 소프트웨어 개발 수명 주기 내에서 지속적 통합 수행
도커를 사용한 젠킨스 설치
도커, 잡 DSL, 젠킨스 파이프라인을 사용한 젠킨스 “DevOps 방식” 구성
플러그인을 사용하여 젠킨스를 널리 사용되는 개발 소프트웨어와 통합
젠킨스 UI의 보안을 강화하기 위한 인증 및 권한 부여 옵션 구성",한국어,https://www.udemy.com/course/best-devops-docker-jenkins-cicd/
development-tools,Generative AI,인공지능 코딩으로 동영상 제작 로봇 만들고 영상 무한으로 찍어내기,모든 수준,"99,000",,3시간 주문형 동영상,"배울 내용
인공지능 코딩 도구를 활용하여 문제를 해결해 나가는 방법을 배웁니다.
인공지능 코딩도구를 통해 AI기반으로 작동하여 동영상을 완전히 자동으로 만들어내는 프로그램을 만드는 방법을 배웁니다
OpenAI의 GPT API, Dall-E, Google Cloud의 TTS와같은 인공지능 기반의 API를 활용하는 코드를 AI코딩도구를 통해 만드는 방법을 배웁니다
VSCode의 익스텐션인 AICodeHelper의 사용방법을 배웁니다.",한국어,https://www.udemy.com/course/aicodehelper/
development-tools,Kubernetes,【한글자막】 Kubernetes 실습: AWS 클라우드에 마이크로서비스 배포하기,모든 수준,"17,000",88000.0,28시간 주문형 동영상,"배울 내용
쿠버네티스 클러스터에 컨테이너 배포
EKS 또는 Kops를 사용하여 AWS에서 쿠버네티스 실행
프로메테우스 및 그라파나를 사용하여 라이브 쿠버네티스 클러스터 모니터링
ELK 스택(ElasticStack)을 사용하여 시스템 전체 로그를 분석 키바나와 엘라스틱서치
슬랙 채널에 알림을 보내 쿠버네티스 클러스터에서 알림 처리
쿠버네티스에서 요청 및 제한이 작동하는 방식 이해
쿠버네티스 수평형 포드 자동 확장 사용
라이브 쿠버네티스 배포에서 인그레스 컨트롤 구성
쿠버네티스 스테이트풀셋 이해
쿠버네티스를 지속적 배포 시스템(CD)과 통합
헬름을 사용하여 차트 관리 및 쿠버네티스 YAML을 동적으로 업데이트
더 보기",한국어,https://www.udemy.com/course/kubernetes-microservices-aws-cloud/
development-tools,Git,모든 개발자를 위한 실습으로 배우는 Git & GitHub 입문,초급자,"33,000",,4시간 주문형 동영상,"배울 내용
Git & GitHub의 기본개념
GIt의 기초 명령어부터 심화명령어까지
GitHub의 기본기능부터 심화기능까지
터미널 명령어와 vi 활용법 기초",한국어,https://www.udemy.com/course/learn-git-github-by-practice/
development-tools,Docker,【한글자막】 Docker - Java 개발자를 위한 완벽 실습 과정,모든 수준,"17,000",88000.0,8.5시간 주문형 동영상,"배울 내용
프로덕션 품질의 Java 시스템에서의 Docker 사용하기
클러스터 내 여러 노드에 시스템 분산하기
이미지를 DockerHub에 게시하기
이미지와 컨테이너의 차이점 파악하기
Dockerfile에 컨테이너 구축하기
Docker를 빌드 프로세스에 통합하기",한국어,https://www.udemy.com/course/docker-java-developer/
development-tools,GitHub,처음 배우는 Git/GitHub,모든 수준,"119,000",,5시간 주문형 동영상,"배울 내용
Git& GitHub에 대한 기본 개념을 이해한다.
Git 설치와 기본/중급/심화 명령어를 익힌다.
GitHub 회원가입 방법과 기본, 중급 기능을 익힌다.
GitHub 실전 프로젝트 실습을 통해서 활용방법을 익힌다.",한국어,https://www.udemy.com/course/gitgithub_hihrd/
development-tools,C++ (programming language),C++중급 개발자로 도약하기: Qt/부스트 애플리케이션 개발,초급자,무료,,,,한국어,https://www.udemy.com/course/cpp_development_with_qt_and_boost_library/
